#=====================================================
# File created:        Fri-31-Oct-2025-at-03-21-42PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.183379
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1179.8132  0.2582
   00001    0.6152   -2356.1695  0.2655
   00002    0.5668   -2656.6234  0.2683
   00003    0.5436   -2891.8775  0.2701
   00004    0.5248   -3079.2013  0.2791
   00005    0.5212   -3223.4001  0.2852
   00006    0.5000   -3307.4733  0.2857
   00007    0.5024   -3442.5577  0.3002
   00008    0.4864   -3543.1894  0.3001
   00009    0.4604   -3626.8359  0.2946
   00010    0.4660   -3655.9190  0.2962
   00011    0.4644   -3691.1277  0.3011
   00012    0.4528   -3713.0445  0.3008
   00013    0.4732   -3776.3022  0.3074
   00014    0.4448   -3791.4667  0.3068
   00015    0.4428   -3838.9355  0.3044
   00016    0.4484   -3860.0208  0.3091
   00017    0.4596   -3882.9086  0.3085
   00018    0.4460   -3906.2137  0.3110
   00019    0.4432   -3915.6350  0.3078
   00020    0.4256   -3949.1463  0.3098
   00021    0.4368   -3961.2719  0.3125
   00022    0.4384   -3971.5442  0.3142
   00023    0.4192   -3969.5807  0.3128
   00024    0.4240   -3986.2811  0.3068
   00025    0.4268   -4007.7602  0.3020
   00026    0.4280   -4007.6899  0.2993
   00027    0.4276   -4044.0020  0.3081
   00028    0.4204   -4044.2140  0.3087
   00029    0.4072   -4065.8482  0.3089
   00030    0.4260   -4074.7692  0.3146
   00031    0.4188   -4071.1157  0.3158
   00032    0.4324   -4079.2683  0.3145
   00033    0.4216   -4082.3074  0.3157
   00034    0.4064   -4082.8962  0.3212
   00035    0.4340   -4083.5825  0.3233
   00036    0.4176   -4090.4742  0.3303
   00037    0.4460   -4091.0879  0.3412
   00038    0.4324   -4073.9944  0.3282
   00039    0.4280   -4092.3718  0.3259
   00040    0.4220   -4094.5230  0.3221
   00041    0.4228   -4112.9317  0.3257
   00042    0.4252   -4126.8337  0.3287
   00043    0.4076   -4134.7357  0.3248
   00044    0.4268   -4119.9324  0.3315
   00045    0.4332   -4087.7084  0.3393
   00046    0.4260   -4107.2494  0.3485
   00047    0.4308   -4099.8193  0.3522
   00048    0.4156   -4115.3733  0.3506
   00049    0.4140   -4140.2553  0.3520
   00050    0.4188   -4142.9868  0.3495
