#=====================================================
# File created:        Fri-31-Oct-2025-at-03-06-12PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# MPI ranks:           1
# Run time (s):        0.853410
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1245.9157  0.2520
   00001    0.6868   -1852.1718  0.2618
   00002    0.6272   -2272.3474  0.2674
   00003    0.5864   -2584.6169  0.2850
   00004    0.5536   -2818.3415  0.2884
   00005    0.5240   -2946.1927  0.2958
   00006    0.5184   -3082.9747  0.3078
   00007    0.5068   -3211.8126  0.3194
   00008    0.4912   -3308.2251  0.3291
   00009    0.4944   -3405.0683  0.3302
   00010    0.4672   -3463.7926  0.3233
   00011    0.4848   -3516.5316  0.3336
   00012    0.4592   -3529.9133  0.3380
   00013    0.4624   -3575.3410  0.3410
   00014    0.4724   -3626.1058  0.3413
   00015    0.4516   -3649.0633  0.3493
   00016    0.4412   -3669.6958  0.3564
   00017    0.4504   -3700.7869  0.3552
   00018    0.4648   -3743.0246  0.3595
   00019    0.4504   -3769.5227  0.3552
   00020    0.4512   -3780.7117  0.3506
   00021    0.4364   -3814.7675  0.3518
   00022    0.4316   -3845.0772  0.3522
   00023    0.4448   -3854.8939  0.3501
   00024    0.4468   -3854.8610  0.3458
   00025    0.4328   -3896.7323  0.3517
   00026    0.4464   -3909.4974  0.3506
   00027    0.4348   -3929.4574  0.3578
   00028    0.4408   -3938.7011  0.3590
   00029    0.4436   -3953.6737  0.3529
   00030    0.4300   -3960.6376  0.3510
   00031    0.4592   -3947.2187  0.3486
   00032    0.4320   -3983.0755  0.3534
   00033    0.4216   -3964.6495  0.3583
   00034    0.4132   -3989.5278  0.3640
   00035    0.4372   -3985.5758  0.3615
   00036    0.4432   -3977.7618  0.3621
   00037    0.4204   -4005.9777  0.3637
   00038    0.4380   -4022.6709  0.3644
   00039    0.4424   -4015.0204  0.3583
   00040    0.4104   -3988.7111  0.3599
   00041    0.4188   -4019.7414  0.3632
   00042    0.4164   -4014.1452  0.3647
   00043    0.4408   -4060.0152  0.3603
   00044    0.4144   -4077.4891  0.3578
   00045    0.4164   -4037.9271  0.3533
   00046    0.4460   -4069.4796  0.3454
   00047    0.4324   -4072.8649  0.3445
   00048    0.4272   -4076.2108  0.3462
   00049    0.4348   -4072.1983  0.3443
   00050    0.4156   -4085.2104  0.3466
