#=====================================================
# File created:        Mon-27-Oct-2025-at-01-15-53PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.022864
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2531.8248  0.7581
   00001    0.6192   -4679.4792  0.7586
   00002    0.5740   -5337.5867  0.7553
   00003    0.5584   -5758.5978  0.7646
   00004    0.5312   -6094.1320  0.7662
   00005    0.5028   -6414.0983  0.7697
   00006    0.5000   -6616.0161  0.7703
   00007    0.4732   -6840.4581  0.7767
   00008    0.4732   -6972.5844  0.7868
   00009    0.4680   -7134.9321  0.7719
   00010    0.4792   -7218.9075  0.7740
   00011    0.4724   -7278.9521  0.7789
   00012    0.4616   -7394.6194  0.7849
   00013    0.4640   -7451.3812  0.7900
   00014    0.4716   -7525.6541  0.7972
   00015    0.4748   -7518.1935  0.8092
   00016    0.4492   -7620.3360  0.8129
   00017    0.4544   -7593.1778  0.8182
   00018    0.4504   -7712.9830  0.8281
   00019    0.4512   -7726.2423  0.8380
   00020    0.4424   -7765.2236  0.8414
   00021    0.4316   -7741.3573  0.8401
   00022    0.4348   -7772.3863  0.8371
   00023    0.4252   -7831.5931  0.8416
   00024    0.4452   -7877.1104  0.8449
   00025    0.4220   -7904.5523  0.8514
   00026    0.4224   -7955.4561  0.8554
   00027    0.4216   -7938.2091  0.8608
   00028    0.4372   -7956.1619  0.8560
   00029    0.4256   -7959.8803  0.8586
   00030    0.4292   -8008.6149  0.8598
   00031    0.4316   -8020.2738  0.8654
   00032    0.4188   -8060.2383  0.8675
   00033    0.4220   -8043.9489  0.8722
   00034    0.4356   -8054.3152  0.8702
   00035    0.4292   -8122.7242  0.8769
   00036    0.4160   -8094.2765  0.8755
   00037    0.4136   -8069.5076  0.8728
   00038    0.4228   -8094.5610  0.8737
   00039    0.4324   -8124.8152  0.8796
   00040    0.4252   -8174.2142  0.8831
   00041    0.4204   -8181.7061  0.8923
   00042    0.4304   -8200.6146  0.8995
   00043    0.4276   -8242.1451  0.8949
   00044    0.4228   -8245.7495  0.8979
   00045    0.4292   -8218.0685  0.8957
   00046    0.4200   -8224.4703  0.9017
   00047    0.4264   -8151.8510  0.9032
   00048    0.4084   -8167.7804  0.9008
   00049    0.4080   -8180.9493  0.9047
   00050    0.4248   -8187.1851  0.9078
