#=====================================================
# File created:        Sat-01-Nov-2025-at-08-46-03AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.196277
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5037.1239  0.2505
   00001    0.6304   -9319.5078  0.2572
   00002    0.5852  -10531.0982  0.2552
   00003    0.5579  -11451.3402  0.2570
   00004    0.5347  -12173.8116  0.2546
   00005    0.5126  -12683.0363  0.2548
   00006    0.5007  -13089.3088  0.2575
   00007    0.4904  -13556.5706  0.2604
   00008    0.4790  -13835.5537  0.2604
   00009    0.4856  -14164.3599  0.2618
   00010    0.4605  -14366.1559  0.2618
   00011    0.4605  -14586.0620  0.2586
   00012    0.4585  -14742.2022  0.2571
   00013    0.4528  -14869.4348  0.2535
   00014    0.4450  -15023.1513  0.2561
   00015    0.4474  -15155.7223  0.2539
   00016    0.4532  -15238.2312  0.2523
   00017    0.4470  -15295.7581  0.2531
   00018    0.4467  -15399.4056  0.2530
   00019    0.4436  -15514.8989  0.2575
   00020    0.4369  -15588.6181  0.2583
   00021    0.4305  -15666.2012  0.2584
   00022    0.4385  -15724.5234  0.2615
   00023    0.4356  -15720.6130  0.2590
   00024    0.4278  -15803.8157  0.2608
   00025    0.4334  -15843.0495  0.2613
   00026    0.4336  -15898.7251  0.2613
   00027    0.4430  -15913.3050  0.2612
   00028    0.4398  -15878.5113  0.2627
   00029    0.4314  -15882.9915  0.2607
   00030    0.4313  -15932.4806  0.2575
   00031    0.4417  -15986.6122  0.2592
   00032    0.4328  -16050.2780  0.2596
   00033    0.4306  -16050.4659  0.2595
   00034    0.4308  -16137.4917  0.2607
   00035    0.4270  -16112.8051  0.2598
   00036    0.4247  -16092.9470  0.2627
   00037    0.4338  -16169.4883  0.2679
   00038    0.4274  -16150.9890  0.2665
   00039    0.4265  -16143.0979  0.2677
   00040    0.4228  -16118.5602  0.2707
   00041    0.4271  -16167.9553  0.2707
   00042    0.4272  -16203.9126  0.2734
   00043    0.4341  -16233.9914  0.2730
   00044    0.4216  -16254.7107  0.2714
   00045    0.4318  -16221.9173  0.2719
   00046    0.4126  -16230.0059  0.2752
   00047    0.4207  -16229.6107  0.2740
   00048    0.4267  -16249.9724  0.2756
   00049    0.4284  -16309.6881  0.2714
   00050    0.4231  -16296.9453  0.2718
