#=====================================================
# File created:        Thu-23-Oct-2025-at-02-32-01PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.999688
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2403.8243  0.2611 
   00001    0.6812   -3569.7752  0.2635 
   00002    0.6224   -4363.6940  0.2573 
   00003    0.5972   -4969.1596  0.2525 
   00004    0.5472   -5420.7580  0.2691 
   00005    0.5400   -5777.1709  0.2657 
   00006    0.5252   -6031.0166  0.2616 
   00007    0.5180   -6238.4397  0.2596 
   00008    0.5096   -6484.1757  0.2610 
   00009    0.4956   -6656.6648  0.2626 
   00010    0.4816   -6758.9480  0.2652 
   00011    0.4648   -6854.6775  0.2696 
   00012    0.4656   -6989.4433  0.2632 
   00013    0.4644   -7123.6088  0.2662 
   00014    0.4784   -7234.5489  0.2629 
   00015    0.4724   -7312.7952  0.2710 
   00016    0.4556   -7363.1179  0.2744 
   00017    0.4496   -7388.6625  0.2719 
   00018    0.4484   -7431.5034  0.2638 
   00019    0.4560   -7502.7178  0.2728 
   00020    0.4440   -7493.8394  0.2759 
   00021    0.4252   -7537.2179  0.2769 
   00022    0.4456   -7594.9275  0.2763 
   00023    0.4524   -7665.9065  0.2781 
   00024    0.4248   -7695.9425  0.2779 
   00025    0.4516   -7702.7148  0.2773 
   00026    0.4488   -7721.7524  0.2857 
   00027    0.4364   -7736.9211  0.2905 
   00028    0.4540   -7804.0907  0.2954 
   00029    0.4440   -7791.0178  0.3073 
   00030    0.4416   -7836.5900  0.3048 
   00031    0.4144   -7873.6374  0.3004 
   00032    0.4412   -7862.7786  0.3117 
   00033    0.4380   -7896.8819  0.3142 
   00034    0.4252   -7925.7548  0.3133 
   00035    0.4408   -7952.0552  0.3117 
   00036    0.4292   -7941.5580  0.3160 
   00037    0.4328   -7953.3090  0.3141 
   00038    0.4360   -8000.6371  0.3220 
   00039    0.4372   -7946.0288  0.3153 
   00040    0.4404   -7939.6837  0.3148 
   00041    0.4360   -7982.0372  0.3185 
   00042    0.4376   -7955.2511  0.3226 
   00043    0.4348   -7995.9737  0.3271 
   00044    0.4488   -8008.2926  0.3285 
   00045    0.4344   -7987.9788  0.3308 
   00046    0.4408   -8007.6976  0.3348 
   00047    0.4280   -8025.2096  0.3289 
   00048    0.4412   -8032.0321  0.3336 
   00049    0.4176   -8030.9635  0.3310 
   00050    0.4216   -8036.7702  0.3256 
