#=====================================================
# File created:        Wed-29-Oct-2025-at-10-54-19AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.017484
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1244.3898  0.2619
   00001    0.6304   -2332.5880  0.2887
   00002    0.5788   -2656.7884  0.2948
   00003    0.5572   -2910.6902  0.2963
   00004    0.5400   -3062.0153  0.3144
   00005    0.5156   -3175.7760  0.3236
   00006    0.4908   -3279.0041  0.3270
   00007    0.5164   -3374.3349  0.3229
   00008    0.4820   -3460.9038  0.3264
   00009    0.4572   -3533.2647  0.3235
   00010    0.4628   -3593.3781  0.3261
   00011    0.4708   -3627.8994  0.3301
   00012    0.4604   -3676.5392  0.3281
   00013    0.4424   -3707.0507  0.3374
   00014    0.4548   -3764.3903  0.3367
   00015    0.4696   -3771.1391  0.3349
   00016    0.4408   -3835.9409  0.3335
   00017    0.4560   -3847.3797  0.3323
   00018    0.4568   -3876.6470  0.3315
   00019    0.4384   -3897.6627  0.3344
   00020    0.4488   -3921.1125  0.3432
   00021    0.4556   -3941.3106  0.3484
   00022    0.4332   -3922.3443  0.3454
   00023    0.4500   -3931.0929  0.3465
   00024    0.4272   -3962.0858  0.3394
   00025    0.4268   -3983.2907  0.3412
   00026    0.4484   -3989.7686  0.3291
   00027    0.4220   -4001.2896  0.3346
   00028    0.4232   -4010.2445  0.3280
   00029    0.4256   -4044.5752  0.3308
   00030    0.4340   -4062.5647  0.3354
   00031    0.4240   -4065.7491  0.3300
   00032    0.4228   -4080.0437  0.3332
   00033    0.4296   -4079.7892  0.3340
   00034    0.4120   -4078.7390  0.3434
   00035    0.4332   -4085.8363  0.3416
   00036    0.4240   -4063.2544  0.3466
   00037    0.4404   -4053.3016  0.3418
   00038    0.4172   -4070.2389  0.3385
   00039    0.4284   -4066.6092  0.3362
   00040    0.4164   -4056.6568  0.3394
   00041    0.4212   -4079.6260  0.3443
   00042    0.4288   -4069.2296  0.3396
   00043    0.4324   -4058.5696  0.3378
   00044    0.4280   -4073.7545  0.3372
   00045    0.4180   -4080.2357  0.3363
   00046    0.4364   -4072.4649  0.3404
   00047    0.4444   -4104.6226  0.3430
   00048    0.4176   -4101.1849  0.3436
   00049    0.4292   -4115.2607  0.3399
   00050    0.4296   -4109.9080  0.3450
