#=====================================================
# File created:        Thu-23-Oct-2025-at-11-50-56AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.860876
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2493.6030  0.2716 
   00001    0.6860   -3738.7419  0.2751 
   00002    0.6088   -4468.1751  0.2795 
   00003    0.5800   -5047.2320  0.2804 
   00004    0.5620   -5531.6565  0.2713 
   00005    0.5452   -5870.7185  0.2798 
   00006    0.5112   -6142.1124  0.2873 
   00007    0.5044   -6404.5466  0.2855 
   00008    0.5016   -6477.5464  0.2858 
   00009    0.4916   -6685.7300  0.2915 
   00010    0.4784   -6827.9775  0.2947 
   00011    0.4904   -6948.0572  0.3023 
   00012    0.4512   -7101.8918  0.3008 
   00013    0.4576   -7203.6380  0.2971 
   00014    0.4612   -7236.0859  0.3126 
   00015    0.4500   -7278.2147  0.3290 
   00016    0.4628   -7354.6599  0.3273 
   00017    0.4504   -7398.6234  0.3286 
   00018    0.4540   -7506.6771  0.3262 
   00019    0.4536   -7588.4022  0.3341 
   00020    0.4340   -7658.7582  0.3419 
   00021    0.4396   -7595.4466  0.3425 
   00022    0.4464   -7663.4726  0.3416 
   00023    0.4260   -7751.5323  0.3488 
   00024    0.4416   -7762.5236  0.3487 
   00025    0.4432   -7802.5009  0.3474 
   00026    0.4224   -7807.6206  0.3438 
   00027    0.4452   -7805.2130  0.3532 
   00028    0.4328   -7815.9620  0.3571 
   00029    0.4228   -7857.8465  0.3564 
   00030    0.4312   -7858.7970  0.3616 
   00031    0.4376   -7915.2123  0.3693 
   00032    0.4340   -7969.6689  0.3712 
   00033    0.4332   -7953.3099  0.3734 
   00034    0.4240   -7987.2471  0.3682 
   00035    0.4388   -8020.1372  0.3721 
   00036    0.4396   -8022.5491  0.3742 
   00037    0.4268   -8022.4736  0.3749 
   00038    0.4324   -8069.0632  0.3698 
   00039    0.4352   -8063.8585  0.3602 
   00040    0.4400   -8061.3528  0.3660 
   00041    0.4252   -8039.4929  0.3703 
   00042    0.4368   -8051.5629  0.3700 
   00043    0.4132   -8069.5944  0.3728 
   00044    0.4176   -8078.2700  0.3772 
   00045    0.4420   -8078.7730  0.3782 
   00046    0.4268   -8073.4104  0.3851 
   00047    0.4248   -8132.2601  0.3838 
   00048    0.4344   -8103.8512  0.3868 
   00049    0.4232   -8142.2827  0.3841 
   00050    0.4404   -8128.9861  0.3901 
