#=====================================================
# File created:        Mon-27-Oct-2025-at-01-13-44PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.025294
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2468.1379  0.7673
   00001    0.6248   -4774.6606  0.7589
   00002    0.5900   -5316.4901  0.7801
   00003    0.5432   -5757.6810  0.7877
   00004    0.5300   -6118.0921  0.8045
   00005    0.5064   -6398.0659  0.8131
   00006    0.5216   -6625.4946  0.8297
   00007    0.4784   -6762.0745  0.8449
   00008    0.4800   -6942.2111  0.8475
   00009    0.4656   -7101.9114  0.8465
   00010    0.4652   -7224.0092  0.8542
   00011    0.4540   -7332.6933  0.8542
   00012    0.4488   -7431.5684  0.8607
   00013    0.4508   -7493.9782  0.8663
   00014    0.4564   -7569.2535  0.8676
   00015    0.4392   -7612.0323  0.8594
   00016    0.4640   -7673.6238  0.8594
   00017    0.4416   -7719.7690  0.8683
   00018    0.4332   -7709.3057  0.8669
   00019    0.4436   -7778.7747  0.8657
   00020    0.4320   -7787.5604  0.8660
   00021    0.4260   -7814.1791  0.8615
   00022    0.4392   -7809.6074  0.8592
   00023    0.4432   -7746.4593  0.8576
   00024    0.4436   -7777.4651  0.8653
   00025    0.4528   -7817.6014  0.8649
   00026    0.4408   -7866.1782  0.8637
   00027    0.4508   -7907.6513  0.8684
   00028    0.4512   -7947.9052  0.8733
   00029    0.4388   -7967.1463  0.8709
   00030    0.4364   -7966.8565  0.8674
   00031    0.4372   -7962.6324  0.8672
   00032    0.4284   -8001.0293  0.8724
   00033    0.4272   -8073.3068  0.8744
   00034    0.4216   -8055.3523  0.8744
   00035    0.4236   -8095.3359  0.8769
   00036    0.4212   -8099.0657  0.8849
   00037    0.4164   -8134.8632  0.8854
   00038    0.4176   -8179.3572  0.8830
   00039    0.4248   -8138.3237  0.8874
   00040    0.4260   -8194.4684  0.8866
   00041    0.4300   -8215.6534  0.8882
   00042    0.3976   -8161.8915  0.8762
   00043    0.4284   -8150.0507  0.8788
   00044    0.4208   -8181.6128  0.8756
   00045    0.4284   -8157.5508  0.8794
   00046    0.4416   -8185.1379  0.8870
   00047    0.4296   -8174.2754  0.8820
   00048    0.4276   -8175.8257  0.8836
   00049    0.4232   -8207.6007  0.8865
   00050    0.4168   -8179.1611  0.8915
