#=====================================================
# File created:        Thu-23-Oct-2025-at-05-46-25PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.694806
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2450.0336  0.7607
   00001    0.6852   -3630.0758  0.7609
   00002    0.6156   -4413.6646  0.7682
   00003    0.5908   -5056.5991  0.7776
   00004    0.5688   -5537.0669  0.7780
   00005    0.5376   -5861.1443  0.7866
   00006    0.5448   -6109.1731  0.7989
   00007    0.5032   -6290.4091  0.8103
   00008    0.4876   -6494.6261  0.8116
   00009    0.4940   -6701.9726  0.8111
   00010    0.4892   -6895.3597  0.8236
   00011    0.4780   -7020.4443  0.8236
   00012    0.4772   -7187.1865  0.8272
   00013    0.4684   -7277.0381  0.8241
   00014    0.4652   -7322.3790  0.8249
   00015    0.4704   -7436.3593  0.8297
   00016    0.4624   -7540.5627  0.8318
   00017    0.4380   -7558.1713  0.8341
   00018    0.4284   -7669.5093  0.8396
   00019    0.4548   -7691.9075  0.8411
   00020    0.4460   -7691.3059  0.8455
   00021    0.4404   -7710.9726  0.8472
   00022    0.4260   -7798.6582  0.8480
   00023    0.4476   -7844.2078  0.8501
   00024    0.4308   -7820.5106  0.8539
   00025    0.4472   -7914.8326  0.8473
   00026    0.4296   -7888.7000  0.8461
   00027    0.4436   -7889.5070  0.8438
   00028    0.4340   -7928.4930  0.8408
   00029    0.4304   -7949.1514  0.8440
   00030    0.4136   -7965.7775  0.8436
   00031    0.4116   -7974.3221  0.8502
   00032    0.4244   -8013.4187  0.8489
   00033    0.4232   -8034.6368  0.8566
   00034    0.4280   -7998.0579  0.8557
   00035    0.4352   -8003.0646  0.8497
   00036    0.4348   -8037.1678  0.8521
   00037    0.4232   -8014.9347  0.8527
   00038    0.4200   -8031.7496  0.8547
   00039    0.4168   -8033.7267  0.8581
   00040    0.4320   -8030.7131  0.8631
   00041    0.4336   -8083.9107  0.8628
   00042    0.4284   -8047.8675  0.8686
   00043    0.4428   -8066.7996  0.8701
   00044    0.4244   -8118.6602  0.8728
   00045    0.4304   -8151.0225  0.8728
   00046    0.4264   -8102.6909  0.8611
   00047    0.4232   -8166.7939  0.8607
   00048    0.4328   -8204.0101  0.8568
   00049    0.4332   -8215.4694  0.8608
   00050    0.4284   -8201.9893  0.8655
