#=====================================================
# File created:        Mon-27-Oct-2025-at-04-42-28PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.436884
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2674.9812  0.2661 
   00001    0.6824   -3990.3461  0.2750 
   00002    0.6072   -4681.9263  0.2678 
   00003    0.5732   -5122.4846  0.2653 
   00004    0.5536   -5617.3164  0.2648 
   00005    0.5396   -6022.2405  0.2641 
   00006    0.5224   -6312.1549  0.2548 
   00007    0.5020   -6516.2680  0.2583 
   00008    0.4836   -6657.5619  0.2724 
   00009    0.4800   -6818.6759  0.2723 
   00010    0.4856   -6960.8297  0.2691 
   00011    0.4640   -7067.6880  0.2710 
   00012    0.4624   -7176.9921  0.2760 
   00013    0.4636   -7274.9157  0.2858 
   00014    0.4596   -7365.3761  0.2843 
   00015    0.4516   -7463.3371  0.2880 
   00016    0.4548   -7477.3942  0.2940 
   00017    0.4456   -7536.3000  0.2918 
   00018    0.4532   -7619.9793  0.2922 
   00019    0.4444   -7615.7986  0.2880 
   00020    0.4428   -7686.4891  0.2909 
   00021    0.4404   -7689.5645  0.2937 
   00022    0.4204   -7682.1233  0.2942 
   00023    0.4420   -7750.3644  0.2907 
   00024    0.4512   -7779.0132  0.2962 
   00025    0.4412   -7795.4047  0.3000 
   00026    0.4556   -7838.0026  0.3022 
   00027    0.4428   -7879.6390  0.3031 
   00028    0.4340   -7906.8669  0.3049 
   00029    0.4352   -7875.8140  0.3016 
   00030    0.4224   -7884.0569  0.3020 
   00031    0.4252   -7919.0954  0.3077 
   00032    0.4296   -7887.5836  0.3132 
   00033    0.4224   -7892.3413  0.3176 
   00034    0.4380   -7941.4381  0.3178 
   00035    0.4336   -7994.0731  0.3158 
   00036    0.4200   -7974.6304  0.3265 
   00037    0.4296   -7993.7834  0.3305 
   00038    0.4116   -8013.2176  0.3347 
   00039    0.4156   -7989.0075  0.3333 
   00040    0.4184   -7941.5279  0.3332 
   00041    0.4376   -7973.4226  0.3332 
   00042    0.4532   -8027.4539  0.3343 
   00043    0.4332   -8035.6208  0.3350 
   00044    0.4296   -8061.8411  0.3345 
   00045    0.4312   -8082.5433  0.3457 
   00046    0.4216   -8062.8879  0.3482 
   00047    0.4256   -8060.3009  0.3530 
   00048    0.4156   -8043.8706  0.3454 
   00049    0.4368   -8069.4925  0.3502 
   00050    0.4280   -8051.8429  0.3563 
