#=====================================================
# File created:        Thu-23-Oct-2025-at-06-04-04PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.814358
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2336.6801  0.7672
   00001    0.6692   -3636.5311  0.7634
   00002    0.6188   -4417.3876  0.7740
   00003    0.5884   -5013.9902  0.7704
   00004    0.5368   -5486.1155  0.7653
   00005    0.5464   -5844.1023  0.7622
   00006    0.5132   -6099.2837  0.7644
   00007    0.4996   -6264.5219  0.7617
   00008    0.5132   -6459.3332  0.7623
   00009    0.4624   -6570.3121  0.7634
   00010    0.4904   -6795.6568  0.7617
   00011    0.4728   -6956.9661  0.7600
   00012    0.4648   -7066.5237  0.7603
   00013    0.4780   -7177.2914  0.7603
   00014    0.4708   -7232.6819  0.7619
   00015    0.4744   -7269.3687  0.7641
   00016    0.4636   -7377.4294  0.7585
   00017    0.4588   -7435.4916  0.7685
   00018    0.4736   -7502.2656  0.7759
   00019    0.4508   -7541.6170  0.7749
   00020    0.4588   -7588.2456  0.7763
   00021    0.4452   -7663.8988  0.7820
   00022    0.4508   -7678.0846  0.7910
   00023    0.4404   -7705.2840  0.7896
   00024    0.4440   -7740.3671  0.7893
   00025    0.4336   -7776.7188  0.8019
   00026    0.4504   -7817.8780  0.8062
   00027    0.4236   -7849.0548  0.8131
   00028    0.4396   -7867.2876  0.8142
   00029    0.4132   -7909.7233  0.8168
   00030    0.4268   -7905.8696  0.8101
   00031    0.4268   -7970.1062  0.8141
   00032    0.4204   -8001.4397  0.8148
   00033    0.4176   -8004.1044  0.8190
   00034    0.4348   -7986.6021  0.8237
   00035    0.4192   -7969.9461  0.8212
   00036    0.4232   -7967.6608  0.8241
   00037    0.4268   -7978.3422  0.8312
   00038    0.4260   -8005.3152  0.8308
   00039    0.4360   -8061.3291  0.8401
   00040    0.4372   -8056.1588  0.8444
   00041    0.4288   -8074.7673  0.8422
   00042    0.4324   -8079.1203  0.8424
   00043    0.4276   -8111.4297  0.8337
   00044    0.4444   -8129.5350  0.8364
   00045    0.4116   -8150.3905  0.8305
   00046    0.4244   -8153.1571  0.8431
   00047    0.4300   -8192.7799  0.8433
   00048    0.4232   -8184.0799  0.8382
   00049    0.4192   -8178.8891  0.8407
   00050    0.4200   -8210.9443  0.8398
