LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.416, Time: 3.268713 s
         1497901 function calls (1481118 primitive calls) in 5.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    311/1    0.004    0.000    5.007    5.007 {built-in method builtins.exec}
        1    0.000    0.000    5.007    5.007 LebwohlLasher.py:1(<module>)
        1    0.001    0.001    3.376    3.376 LebwohlLasher.py:257(main)
       35    0.003    0.000    2.234    0.064 __init__.py:1(<module>)
   377500    2.081    0.000    2.081    0.000 LebwohlLasher.py:131(one_energy)
       50    0.444    0.009    1.864    0.037 LebwohlLasher.py:210(MC_step)
    362/4    0.003    0.000    1.672    0.418 <frozen importlib._bootstrap>:1349(_find_and_load)
    358/4    0.002    0.000    1.672    0.418 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    345/5    0.002    0.000    1.667    0.333 <frozen importlib._bootstrap>:911(_load_unlocked)
    296/5    0.001    0.000    1.666    0.333 <frozen importlib._bootstrap_external>:993(exec_module)
    846/9    0.001    0.000    1.664    0.185 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   416/14    0.001    0.000    1.572    0.112 {built-in method builtins.__import__}
   364/66    0.001    0.000    1.306    0.020 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       51    0.727    0.014    0.749    0.015 LebwohlLasher.py:182(get_order)
       51    0.035    0.001    0.699    0.014 LebwohlLasher.py:165(all_energy)
        1    0.000    0.000    0.654    0.654 pyplot.py:1(<module>)
1125/1037    0.021    0.000    0.426    0.000 {built-in method builtins.__build_class__}
      296    0.005    0.000    0.399    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
  345/338    0.001    0.000    0.319    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.312    0.312 figure.py:1(<module>)
    44/42    0.000    0.000    0.307    0.007 <frozen importlib._bootstrap_external>:1291(create_module)
    44/42    0.277    0.006    0.307    0.007 {built-in method _imp.create_dynamic}
      106    0.003    0.000    0.304    0.003 artist.py:158(_update_set_signature_and_docstring)
      406    0.002    0.000    0.302    0.001 <frozen importlib._bootstrap_external>:1187(get_data)
      105    0.001    0.000    0.294    0.003 artist.py:125(__init_subclass__)
      406    0.286    0.001    0.286    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.275    0.275 image.py:1(<module>)
        1    0.000    0.000    0.261    0.261 backend_bases.py:1(<module>)
        1    0.000    0.000    0.260    0.260 rcsetup.py:1(<module>)
      120    0.001    0.000    0.236    0.002 artist.py:1832(kwdoc)
        1    0.000    0.000    0.231    0.231 __config__.py:1(<module>)
      120    0.005    0.000    0.201    0.002 artist.py:1593(pprint_setters)
      356    0.004    0.000    0.192    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
