LebwohlLasher_vectorised.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.841, Time: 1.843726 s
         346239 function calls (343897 primitive calls) in 2.368 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    103/1    0.001    0.000    2.368    2.368 {built-in method builtins.exec}
        1    0.000    0.000    2.368    2.368 LebwohlLasher_vectorised.py:1(<module>)
        1    0.001    0.001    1.998    1.998 LebwohlLasher_vectorised.py:159(main)
       50    0.309    0.006    1.809    0.036 LebwohlLasher_vectorised.py:138(MC_step)
   250000    1.498    0.000    1.498    0.000 LebwohlLasher_vectorised.py:119(one_energy)
        9    0.001    0.000    0.970    0.108 __init__.py:1(<module>)
    128/3    0.001    0.000    0.505    0.168 <frozen importlib._bootstrap>:1349(_find_and_load)
    128/3    0.001    0.000    0.505    0.168 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    125/3    0.001    0.000    0.503    0.168 <frozen importlib._bootstrap>:911(_load_unlocked)
    102/3    0.000    0.000    0.503    0.168 <frozen importlib._bootstrap_external>:993(exec_module)
    317/6    0.000    0.000    0.500    0.083 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    352/6    0.000    0.000    0.478    0.080 {built-in method builtins.__import__}
   167/21    0.000    0.000    0.473    0.023 <frozen importlib._bootstrap>:1390(_handle_fromlist)
  125/118    0.000    0.000    0.230    0.002 <frozen importlib._bootstrap>:806(module_from_spec)
    23/21    0.000    0.000    0.227    0.011 <frozen importlib._bootstrap_external>:1291(create_module)
    23/21    0.158    0.007    0.226    0.011 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.225    0.225 __config__.py:1(<module>)
        1    0.000    0.000    0.161    0.161 multiarray.py:1(<module>)
      102    0.002    0.000    0.144    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    0.135    0.135 LebwohlLasher_vectorised.py:26(initdat)
        1    0.000    0.000    0.135    0.135 __init__.py:707(__getattr__)
      188    0.001    0.000    0.125    0.001 <frozen importlib._bootstrap_external>:1187(get_data)
      188    0.119    0.001    0.119    0.001 {method 'read' of '_io.BufferedReader' objects}
    23/13    0.000    0.000    0.110    0.008 <frozen importlib._bootstrap_external>:1299(exec_module)
    23/13    0.035    0.002    0.110    0.008 {built-in method _imp.exec_dynamic}
      127    0.001    0.000    0.099    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
      127    0.000    0.000    0.096    0.001 <frozen importlib._bootstrap_external>:1524(find_spec)
      127    0.001    0.000    0.095    0.001 <frozen importlib._bootstrap_external>:1495(_get_spec)
      201    0.002    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
      473    0.000    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      473    0.083    0.000    0.083    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.075    0.075 secrets.py:1(<module>)
        1    0.000    0.000    0.063    0.063 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.062    0.062 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.048    0.048 defmatrix.py:1(<module>)
        1    0.000    0.000    0.045    0.045 hmac.py:1(<module>)
        1    0.000    0.000    0.041    0.041 _linalg.py:1(<module>)
        1    0.000    0.000    0.036    0.036 _pickle.py:1(<module>)
       51    0.007    0.000    0.024    0.000 LebwohlLasher_vectorised.py:47(get_order)
       51    0.015    0.000    0.023    0.000 LebwohlLasher_vectorised.py:32(total_energy)
        1    0.000    0.000    0.018    0.018 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.015    0.015 random.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _machar.py:1(<module>)
      102    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
  235/127    0.001    0.000    0.013    0.000 typing.py:392(inner)
      102    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
       51    0.010    0.000    0.011    0.000 _linalg.py:1286(eigvalsh)
        1    0.000    0.000    0.011    0.011 _internal.py:1(<module>)
        1    0.000    0.000    0.011    0.011 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.011    0.011 format.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _array_like.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _methods.py:1(<module>)
        1    0.005    0.005    0.008    0.008 getlimits.py:168(_register_known_types)
        1    0.000    0.000    0.008    0.008 _format_impl.py:1(<module>)
        1    0.001    0.001    0.008    0.008 printoptions.py:1(<module>)
        1    0.000    0.000    0.008    0.008 einsumfunc.py:1(<module>)
  155/154    0.003    0.000    0.007    0.000 {built-in method builtins.__build_class__}
      204    0.005    0.000    0.007    0.000 numeric.py:1219(roll)
        1    0.000    0.000    0.007    0.007 pickle.py:1(<module>)
      265    0.001    0.000    0.006    0.000 overrides.py:144(decorator)
        1    0.000    0.000    0.006    0.006 LebwohlLasher_vectorised.py:100(savedat)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
      180    0.001    0.000    0.006    0.000 typing.py:1269(__init__)
      339    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.006    0.006 _utils_impl.py:1(<module>)
    85/30    0.000    0.000    0.005    0.000 typing.py:1294(__getitem__)
        1    0.000    0.000    0.005    0.005 base64.py:1(<module>)
        1    0.000    0.000    0.005    0.005 numerictypes.py:1(<module>)
        9    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1648(_fill_cache)
        9    0.005    0.001    0.005    0.001 {built-in method posix.listdir}
        1    0.000    0.000    0.005    0.005 _polynomial_impl.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _char_codes.py:1(<module>)
       50    0.000    0.000    0.005    0.000 typing.py:521(__getitem__)
        1    0.004    0.004    0.004    0.004 {built-in method _io.open}
      253    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
      211    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       14    0.000    0.000    0.004    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.004    0.004 contextvars.py:1(<module>)
        1    0.000    0.000    0.004    0.004 bisect.py:1(<module>)
      188    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
       50    0.001    0.000    0.004    0.000 typing.py:753(Literal)
       66    0.000    0.000    0.004    0.000 typing.py:515(__getitem__)
      128    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
       66    0.000    0.000    0.004    0.000 typing.py:694(Union)
      151    0.001    0.000    0.004    0.000 fromnumeric.py:69(_wrapreduction)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
    85/30    0.000    0.000    0.003    0.000 typing.py:1326(_determine_new_args)
        6    0.001    0.000    0.003    0.001 getlimits.py:36(__init__)
        1    0.000    0.000    0.003    0.003 _function_base_impl.py:1(<module>)
    85/30    0.001    0.000    0.003    0.000 typing.py:1355(_make_substitution)
        2    0.000    0.000    0.003    0.002 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.003    0.003 _globals.py:1(<module>)
      125    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      230    0.001    0.000    0.003    0.000 overrides.py:85(verify_matching_signatures)
      339    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.003    0.003 _twodim_base_impl.py:1(<module>)
      100    0.000    0.000    0.003    0.000 fromnumeric.py:3328(prod)
      204    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
      189    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      183    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
      114    0.000    0.000    0.002    0.000 __init__.py:280(_compile)
     1024    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
       24    0.000    0.000    0.002    0.000 typing.py:1288(__or__)
      310    0.001    0.000    0.002    0.000 function_base.py:486(add_newdoc)
        1    0.000    0.000    0.002    0.002 platform.py:1(<module>)
      227    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
        8    0.000    0.000    0.002    0.000 __init__.py:226(compile)
      269    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.002    0.002 _type_check_impl.py:1(<module>)
        9    0.000    0.000    0.002    0.000 _compiler.py:745(compile)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
